atm_id,location_id,location_street_address,location_city,location_state,location_postal_code,location_country,transaction_date,total_withdrawal_count,total_withdrawal_amount,total_deposit_count,total_deposit_amount,unique_card_count,average_withdrawal_amount,average_deposit_amount,suspicious_activity_flag,notes
ATM301,LOC1021,482 Parkview Ave,Dallas,TX,75201,USA,6/14/2024,102,25005,19,3915,89,245.15,206.05,FALSE,Steady Friday volume in city center branch
ATM302,LOC1022,800 Franklin St.,Boston,MA,02110,USA,6/15/2024,78,22512,21,5832,74,288.62,277.71,FALSE,Busy weekend in historic downtown
ATM303,LOC1023,2100 Wilshire Blvd,Los Angeles,CA,90057,USA,6/1/2024,120,38160,11,3344,102,318,304,FALSE,"Start of June, increased student activity"
ATM304,LOC1024,421 Main Street,Denver,CO,80202,USA,6/8/2024,56,14560,8,1800,50,260,225,FALSE,"Moderate Saturday flow, summer market nearby"
ATM305,LOC1025,35 Lakeshore Dr,Chicago,IL,60601,USA,6/9/2024,95,23875,16,4160,79,251.32,260,FALSE,"Busy Sunday, music festival in the park"
ATM306,LOC1026,1212 Elm Rd,Houston,TX,77002,USA,6/13/2024,70,16800,13,2938,60,240,226,FALSE,"Steady Thursday, near business complex"
ATM307,LOC1027,33 Liberty Ave,New York,NY,10006,USA,6/16/2024,128,32000,30,9000,117,250,300,FALSE,"Father's Day, high traffic in financial district"
ATM308,LOC1028,1 Market St,San Francisco,CA,94105,USA,6/20/2024,68,20540,10,2300,62,302.06,230,FALSE,"Steady Thursday, tech offices nearby"
ATM309,LOC1029,500 Ocean Blvd,Miami,FL,33139,USA,6/2/2024,110,33000,14,3920,98,300,280,FALSE,"Sunday after payday, high activity"
ATM310,LOC1030,89 Main St,Philadelphia,PA,19103,USA,6/19/2024,56,14000,7,1575,49,250,225,FALSE,"Juneteenth, moderate activity in city"
ATM311,LOC1101,123 King St,London,ENG,EC2V 7AA,UK,6/9/2024,27,7500,5,1450,22,277.78,290,FALSE,"Tourist flow, weekend in City of London"
ATM312,LOC1102,45 Queen's Rd,Birmingham,ENG,B1 1AA,UK,6/14/2024,14,3050,2,360,12,217.86,180,FALSE,"Friday, steady use in city center"
ATM313,LOC1201,800 Yonge St,Toronto,ON,M4W 2G8,Canada,6/3/2024,36,8640,7,2016,30,240,288,FALSE,"Downtown Toronto, Monday after weekend"
ATM314,LOC1202,300 Rue Sainte-Catherine,Montreal,QC,H2X 2A1,Canada,6/7/2024,22,5810,5,1100,18,264.09,220,FALSE,"Downtown, Friday before festival"
ATM315,LOC1301,202 Mariahilfer Str.,Vienna,AT,1070,Austria,6/16/2024,14,3360,1,350,11,240,350,FALSE,"Vienna, Sunday, near museum quarter"
ATM316,LOC1401,88 Nathan Rd,Shenzhen,GD,518000,China,6/17/2024,40,9000,3,825,29,225,275,FALSE,"Busy Monday, shopping area in Shenzhen"
ATM317,LOC1501,12 Dame Street,Dublin,TX,D02 X446,Ireland,6/15/2024,9,2043,0,0,8,227,0,FALSE,"Central Dublin, Saturday pub crawl crowd"
ATM318,LOC1601,1 Martin Place,Sydney,NSW,2000,Australia,6/8/2024,17,4080,3,600,14,240,200,FALSE,"Steady Saturday, shopping area"
ATM319,LOC1701,3 Maria-Theresien-Str.,Innsbruck,AT,6020,Austria,6/10/2024,8,1728,0,0,6,216,0,FALSE,"Tourist ATM, low Monday activity"
ATM320,LOC1801,221 King St W,Toronto,ON,M5V 1J5,Canada,6/12/2024,15,3750,2,510,12,250,255,FALSE,"Theatre district, pre-show activity"
ATM321,LOC2001,2159 S Rural Rd,Tempe,AZ,85282,USA,6/22/2024,8,1920,1,140,7,240,140,FALSE,"University ATM, low summer volume"
ATM322,LOC2002,125 5th Ave,New York,NY,10010,USA,6/22/2024,1000,999999.99,5,2000,950,999.99,400,TRUE,"Extreme withdrawal volume, likely system error"
ATM323,LOC2003,199 Concert Blvd,Houston,TX,77003,USA,6/22/2024,250,250000,1,2000,200,1000,2000,TRUE,"Concert event nearby, flagged for review"
ATM324,LOC2004,1 Sports Arena Rd,London,ENG,N17 0AP,UK,6/23/2024,320,192000,4,1600,310,600,400,TRUE,"Soccer final, extreme withdrawal pattern"
ATM325,LOC2005,1 Bayfront Ave,Miami,FL,33132,USA,6/23/2024,5,1000,0,0,5,200,0,FALSE,"Sunday, low volume late-night use"
ATM326,LOC2006,555 Sunset Blvd,Los Angeles,CA,90028,USA,6/21/2024,7,1610,2,360,6,230,180,FALSE,"ATM near theater, quiet Friday morning"
ATM327,LOC2007,77 Broadway,New York,NY,10007,USA,6/24/2024,2,410,1,180,2,205,180,FALSE,"ATM near court, low usage outside business hours"
ATM328,LOC2008,Unknown,London,TX,,Unknown,6/10/2024,0,0,0,0,0,0,0,FALSE,ATM not yet activated
ATM329,LOC2009,Unknown,London,TX,,Unknown,6/11/2024,1,1,0,0,1,1,0,FALSE,Test transaction after repair
ATM330,LOC2010,21 Main St,Montreal,QC,H2Z 1S9,Canada,6/25/2024,0,0,0,0,0,0,0,FALSE,ATM offline for maintenance
ATM331,LOC2011,1925 4th Ave,Seattle,WA,98101,USA,6/18/2024,6,1440,1,120,5,240,120,FALSE,"Downtown, light tourist activity"
ATM332,LOC2012,101 River Rd,Baton Rouge,LA,70802,USA,6/20/2024,3,600,0,0,2,200,0,FALSE,"Riverwalk, low off-season traffic"
ATM333,LOC2013,990 Southgate Ave,Innsbruck,AT,6020,Austria,6/19/2024,5,1225,0,0,4,245,0,FALSE,"Tourist ATM, afternoon use"
ATM334,LOC2014,2122 Esplanade Ave,New Orleans,LA,70119,USA,6/15/2024,10,2150,2,390,8,215,195,FALSE,"Saturday, moderate festival traffic"
ATM335,LOC2015,1190 E 210th St,Bronx,NY,10469,USA,6/11/2024,4,800,0,0,3,200,0,FALSE,"ATM in residential zone, low weekday use"
ATM336,LOC2016,788 College St,Dublin,TX,D01 F6F2,Ireland,6/13/2024,7,1540,1,180,6,220,180,FALSE,"Near university, exam week"
ATM337,LOC2017,8 George St,Sydney,NSW,2000,Australia,6/14/2024,12,2640,2,520,10,220,260,FALSE,"CBD, Friday lunch hour"
ATM338,LOC2018,34 Rue de Rivoli,Paris,IDF,75004,France,6/15/2024,19,4750,3,810,15,250,270,FALSE,"Tourist area, weekend spike"
ATM339,LOC2019,500 Granville St,Vancouver,BC,V6C 1W6,Canada,6/21/2024,23,6210,4,1040,18,270,260,FALSE,"Friday, office traffic downtown"
ATM340,LOC2020,201 Elizabeth St,Sydney,NSW,2000,Australia,6/18/2024,30,6900,6,1500,25,230,250,FALSE,"Central station, commuter rush"
ATM341,LOC2021,11 Rue Principale,Luxembourg,LU,L-1221,Luxembourg,6/19/2024,13,3250,2,420,11,250,210,FALSE,"Bank branch ATM, Wednesday"
ATM342,LOC2022,17 King's Road,London,ENG,SW3 4RP,UK,6/20/2024,38,9886,7,2100,30,260.16,300,FALSE,"Chelsea, Thursday shopping crowd"
ATM343,LOC2023,12 Collins St,Melbourne,VIC,3000,Australia,6/13/2024,20,4800,3,660,17,240,220,FALSE,"CBD, Thursday lunch break"
ATM344,LOC2024,13 Bahnhofstrasse,Zurich,ZH,8001,Switzerland,6/14/2024,21,5040,4,1040,16,240,260,FALSE,"Tourist shopping district, Friday"
ATM345,LOC2025,56 Queen St,Auckland,AUK,1010,New Zealand,6/16/2024,18,3960,3,660,14,220,220,FALSE,"Sunday, moderate city center use"
ATM346,LOC2026,1010 Market St,St. Louis,MO,63101,USA,6/21/2024,11,2420,2,400,9,220,200,FALSE,"Downtown, Friday before game"
ATM347,LOC2027,70 Wellington St,Ottawa,ON,K1A 0A9,Canada,6/15/2024,17,3910,3,660,14,230,220,FALSE,"Parliament Hill, tourist traffic"
ATM348,LOC2028,14 Via Roma,Rome,RM,00185,Italy,6/17/2024,24,5760,4,960,19,240,240,FALSE,"Central Rome, high tourist activity"
ATM349,LOC2029,98 George St,Edinburgh,SCT,EH2 3DF,UK,6/18/2024,13,3250,2,420,11,250,210,FALSE,"Festival week, city center"
ATM350,LOC2030,32 St Kilda Rd,Melbourne,VIC,3004,Australia,6/20/2024,22,5060,4,1040,17,230,260,FALSE,"Thursday, business district"
ATM090,LOC2086,1201 S Clark Dr,Dallas,TX,75204,USA,6/24/2024,87,26772,14,4848.18,77,307.71,346.3,FALSE,Steady business day in Dallas financial district
ATM091,LOC2087,89 W 49th St,New York,NY,10020,USA,6/25/2024,65,17825,10,3370,54,274.23,337,FALSE,"Tourist activity uptick, Rockefeller Center area"
ATM092,LOC2088,421 N Michigan Ave,Chicago,IL,60611,USA,6/22/2024,72,21816,18,6840,61,303,380,FALSE,Busy Saturday before Pride weekend parade
ATM093,LOC2089,724 S Olive St,Los Angeles,CA,90014,USA,6/29/2024,112,36896,25,8447.75,99,329.43,337.91,FALSE,"End of month paychecks, downtown LA"
ATM094,LOC2090,101 Constitution Ave NW,Washington,DC,20001,USA,6/30/2024,121,48182,21,5723.46,107,398.19,272.55,FALSE,"Busy Sunday, concert at National Mall"
ATM095,LOC2091,3345 N Main St,Houston,TX,77009,USA,6/23/2024,96,31200,29,7957.5,86,325,274.39,FALSE,Weekend market draws local crowd
ATM096,LOC2092,1500 S Lamar Blvd,Austin,TX,78704,USA,6/21/2024,80,23920,16,4928,65,299,308,FALSE,"Friday bar crowd, South Austin"
ATM097,LOC2093,601 Market St,San Francisco,CA,94105,USA,6/15/2024,99,30201,30,11700,88,305.06,390,FALSE,"Tech district, post-payroll activity"
ATM098,LOC2094,150 Boylston St,Boston,MA,02116,USA,6/20/2024,70,16800,8,2616,63,240,327,FALSE,Nearby university orientation day
ATM099,LOC2095,3300 Wilshire Blvd,Los Angeles,CA,90010,USA,6/28/2024,132,41040,24,9936,118,311.06,414,FALSE,"Koreatown ATM, payday rush"
ATM100,LOC2096,2 Charing Cross Rd,London,ENG,WC2H 0HH,UK,6/15/2024,38,10730,7,1841,32,282.37,263,FALSE,"West End tourist area, theatre matinee"
ATM101,LOC2097,300 Front St W,Toronto,ON,M5V 0E9,Canada,6/16/2024,24,6648,7,1680,19,277,240,FALSE,"Steady flow, CN Tower tourist foot traffic"
ATM102,LOC2098,39 George St,Dublin,TX,D02F891,Ireland,6/18/2024,16,2720,5,1280,12,170,256,FALSE,"Dublin city centre, steady weekday"
ATM103,LOC2099,15 Queen St,Auckland,NZ,1010,Australia,6/14/2024,13,2548,4,844,9,196,211,FALSE,"CBD foot traffic, bilingual support tested"
ATM104,LOC2100,75 Rue Saint-Antoine,Montreal,QC,H2Y 1A4,Canada,6/29/2024,30,8250,9,2259,25,275,251,FALSE,"Old Montreal, jazz festival weekend"
ATM105,LOC2101,Museumstrasse 17,Innsbruck,AT,6020,Austria,6/17/2024,11,2112,2,440,8,192,220,FALSE,"Tourist activity, hiking season"
ATM106,LOC2102,Zhongxin Rd 88,Shenzhen,GD,518000,China,6/13/2024,22,4400,5,1125,16,200,225,FALSE,"Business hotel lobby, early morning"
ATM107,LOC2103,1 St Stephen's Green,Dublin,TX,D02HX02,Ireland,6/24/2024,8,1280,1,187,6,160,187,FALSE,"Near city park, light usage day"
ATM108,LOC2104,Guanghua Rd 53,Beijing,BJ,100020,China,6/11/2024,19,3420,8,1968,14,180,246,FALSE,"CBD branch, bilingual display tested"
ATM109,LOC2105,6 Circular Quay,Sydney,NSW,2000,Australia,6/28/2024,29,8530,11,2299,21,294.14,209,FALSE,"Tourist ferry terminal, end of month"
ATM110,LOC2106,Unknown,London,TX,,Unknown,6/10/2024,0,0,0,0,0,0,0,FALSE,ATM not yet activated
ATM111,LOC2107,Unknown,London,TX,,USA,6/12/2024,0,0,0,0,0,0,0,FALSE,ATM offline for scheduled maintenance
ATM112,LOC2108,1200 Rural Ave,Moline,IL,61265,USA,6/16/2024,7,1050,1,160,5,150,160,FALSE,"Quiet Sunday, rural area"
ATM113,LOC2109,700 Main St,Bedford,NH,03110,USA,6/9/2024,3,480,1,90,2,160,90,FALSE,ATM test transaction after repair
ATM114,LOC2110,12 Rainbow Rd,Portland,OR,97204,USA,6/15/2024,1,200,0,0,1,200,0,FALSE,ATM operational after brief outage
ATM115,LOC2111,1 More London Pl,London,ENG,SE1 2AF,UK,6/21/2024,41,11356,9,1962,29,277.95,218,FALSE,"Friday rush, offices closing early"
ATM116,LOC2112,88 King St W,Toronto,ON,M5H 1A1,Canada,6/27/2024,31,8680,12,3108,23,280,259,FALSE,"Office tower, pre-holiday activity"
ATM117,LOC2113,88 Market St,San Jose,CA,95113,USA,6/30/2024,1000,875000,2,1530,920,875,765,TRUE,"Extreme withdrawal volume, system error suspected"
ATM118,LOC2114,500 S Hope St,Los Angeles,CA,90071,USA,6/29/2024,255,153000,0,0,237,600,0,TRUE,"Concert event nearby, ATM monitored for fraud"
ATM119,LOC2115,7000 S Zarzamora St,San Antonio,TX,78224,USA,6/28/2024,388,184600,1,1000,340,475.26,1000,TRUE,"Payday spike, review for high-volume activity"
ATM120,LOC2116,9989 University Ave,Waterloo,ON,N2J 3H1,Canada,6/14/2024,5,850,1,150,4,170,150,FALSE,"Quiet morning, university holiday"
ATM121,LOC2117,88 Rue de Rivoli,Paris,IDF,75001,France,6/30/2024,37,10286,7,2079,29,278,297,FALSE,"Louvre area, tourist influx"
ATM122,LOC2118,1 Swanston St,Melbourne,VIC,3000,Australia,6/26/2024,22,4278,5,1035,17,194.45,207,FALSE,"Downtown shopping, steady weekday"
ATM123,LOC2119,68 Queen's Rd,Hong Kong,HK,00000,China,6/20/2024,35,8400,9,2250,27,240,250,FALSE,"Central business district, weekday activity"
ATM124,LOC2120,Friedrichstrasse 43,Berlin,BE,10117,Germany,6/21/2024,14,2660,5,1050,11,190,210,FALSE,"Close to train station, mixed usage"
ATM125,LOC2121,5 Park Lane,London,ENG,W1K 1AB,UK,6/25/2024,18,4950,7,1470,14,275,210,FALSE,"Luxury hotel lobby, steady usage"
ATM126,LOC2122,200 Main St,Springfield,IL,62701,USA,6/19/2024,21,3990,3,600,16,190,200,FALSE,"Midweek, government offices nearby"
ATM127,LOC2123,3250 Walnut St,Boulder,CO,80301,USA,6/16/2024,7,1050,1,160,5,150,160,FALSE,"Quiet Sunday, light shopping traffic"
ATM128,LOC2124,2000 University Ave,Madison,WI,53726,USA,6/24/2024,48,14400,12,3840,38,300,320,FALSE,"Start of summer session, university area"
ATM129,LOC2125,1500 E Main St,Richmond,VA,23219,USA,6/22/2024,56,14000,15,4350,44,250,290,FALSE,"Downtown, post-festival weekend"
ATM130,LOC2126,123 Main St,Hanover,NH,03755,USA,6/17/2024,4,768,0,0,4,192,0,FALSE,ATM used during Dartmouth alumni event
ATM131,LOC2127,900 7th Ave,New York,NY,10019,USA,6/15/2024,143,57096,28,10920,120,399.28,390,FALSE,"Broadway matinee, heavy tourist use"
ATM132,LOC2128,101 Main St,Bar Harbor,ME,04609,USA,6/12/2024,2,360,1,90,2,180,90,FALSE,ATM operational after summer setup
ATM133,LOC2129,1 Test Lane,London,TX,,Unknown,6/11/2024,1,1,1,1,1,1,1,FALSE,ATM test transaction after installation
ATM134,LOC2130,10 Lakeshore Dr,Chicago,IL,60611,USA,6/20/2024,62,18600,16,4800,56,300,300,FALSE,"Lakefront, summer festival nearby"
ATM135,LOC2131,888 King Edward Ave,Ottawa,ON,K1N 6N5,Canada,6/16/2024,17,4250,3,615,13,250,205,FALSE,"University area, light weekend use"
ATM136,LOC2132,12 Main St,Portsmouth,NH,03801,USA,6/25/2024,8,1280,2,340,7,160,170,FALSE,"Harbor area, weekday"
ATM137,LOC2133,1 Main St,Testville,TX,,Unknown,6/18/2024,0,0,0,0,0,0,0,FALSE,ATM offline for scheduled maintenance
ATM138,LOC2134,88 Market St,San Francisco,CA,94111,USA,6/21/2024,110,34100,19,7220,95,310,380,FALSE,"Financial district, Friday payroll"
ATM139,LOC2135,700 Main St,Greenville,SC,29601,USA,6/27/2024,13,2210,2,360,11,170,180,FALSE,Suburban shopping center
ATM140,LOC2136,1 Main St,Nowhere,TX,,Unknown,6/23/2024,0,0,0,0,0,0,0,FALSE,ATM not yet activated
